Feature	Intercept_mean	C(disease, Treatment('Control'))[T.MS]_mean	site[T.Buenos Aires]_mean	site[T.Edinburgh]_mean	site[T.New York]_mean	site[T.Pittsburgh]_mean	site[T.San Francisco]_mean	site[T.San Sebastian]_mean	age_mean	bmi_mean	Intercept_std	C(disease, Treatment('Control'))[T.MS]_std	site[T.Buenos Aires]_std	site[T.Edinburgh]_std	site[T.New York]_std	site[T.Pittsburgh]_std	site[T.San Francisco]_std	site[T.San Sebastian]_std	age_std	bmi_std
G000438095	-9.483404089999993	-0.03884179150450004	0.08632598657499992	0.3295577491279996	-0.11069440227000016	0.5844910251834998	0.24289104301949996	0.5466101523285998	0.0021131127977450015	-0.01630995152154998	0.6845068290597044	0.08100144336565394	0.531204876139403	0.525414873511603	0.6224033553173076	1.0062059186034902	0.5037342904414263	0.6642631004688356	0.008148417953834159	0.011334573092141028
G000435355	-5.172276434999999	-0.40035896190000003	0.5131639822305001	0.7457822097385007	-0.18375049469950047	0.2642264210175997	0.519665758570001	0.3271063557349998	-0.002524949834114991	-0.021671716669449996	0.7242591857403265	0.1033085275829213	0.5533550123567196	0.5253776551180176	0.6331150909319095	1.017369794103732	0.5284580178716575	0.6755976906545859	0.009357684791859524	0.014674847371353383
G000308795	-10.585873209999992	-0.4245849370900001	-0.2718230980974999	2.379710281302	-3.8490188357050017	-1.846162974256999	-4.039555845303996	-2.788020339385004	-0.1355704184205003	-0.2537327912115003	1.914941295432656	1.4314646639323363	2.2543380945063785	2.31923789206364	3.5282588993176125	4.228115968237927	3.404488714078163	3.9053155765933307	0.06684758508254768	0.12154232009866356
G000190535	-5.792584730000011	0.033336876044799936	0.23665651842949967	0.17890852537500007	-0.621782348068499	0.22443940988049962	-0.15813241627750016	0.21186966125700016	0.002089078891949997	-0.00414499896718	0.5542158074765888	0.055123185761234976	0.5231067915044548	0.5009063600372176	0.6042399273442566	0.9114712571932895	0.4826595108610909	0.671397981600704	0.006499305473578564	0.008496203865352048
G000154565	-6.113058595000002	0.18582346225000032	-0.5474269805399997	-0.37038898007099935	-0.11028600562200028	0.09192735191500007	0.10817891012050006	-0.6724896354129998	-0.0036197127448749995	-0.01972823083000004	0.5262705223925008	0.0455855386491205	0.5116391572771243	0.5026024362174074	0.5830693036940019	0.9276493790138552	0.4995238933964461	0.6331882120551694	0.00533109147402747	0.006708495433517816
G900091655	-6.462235554999996	0.11233520635049994	0.5482904828740002	-0.1345905590185503	-0.20157085104699998	-0.4584449143520009	-0.059686484242999924	0.3475268563900002	0.009135913747329008	-0.011724617841699975	0.5502865913545343	0.048867815790284985	0.4704105172015804	0.49681878555170844	0.5931566711757017	0.9472627873024607	0.4988254888093734	0.6520208935231239	0.005978899732221938	0.007509347810995346
G900107845	-8.978095475000016	0.20977633940999996	-4.036241748725002	1.0240902618100003	4.863130933415007	-1.1340069999589992	-2.8903670065250004	-1.843605110294998	-0.16368507993150017	-0.4094706073700006	2.0149711666374714	1.784784443551143	3.500907085566702	2.6879396864545644	2.623634035989675	4.403244597838841	3.8314331532316332	4.080421773109108	0.0911389448045481	0.17810938593620074
G000469345	-6.153294679999998	-0.23085462630000012	-0.015187674471000058	0.011066857945999944	-0.15168141089700002	0.07773500887890022	0.12730329402500012	0.11699208791774993	-0.004810326834314996	0.011442507670750014	0.5403500279399432	0.04379108762931672	0.5388158025475834	0.5276326684991025	0.5799271455601477	0.9883726086427069	0.5326169560117662	0.6880557276857302	0.00534325457071468	0.006885753775172399
G000758925	-7.846037309999997	-0.0020088356790999994	0.2207561254905	-0.012254719327999998	-0.41960916362500034	-0.24389130403949985	-0.07207414877550003	0.19931520263699992	0.005291431657499997	-0.013316171105499975	0.5152681587218095	0.042070542050470616	0.5464787920308758	0.4721380878887774	0.5651888577293019	0.9481865898134194	0.48862500879224524	0.5615053861790226	0.0048813887240474405	0.006464289892755628
G900116425	-12.340622110000004	0.49067909529000037	-1.2561427622825019	-0.7841874425400019	-5.069327648600007	-2.805187159850004	0.06746723468500002	-3.7335294177400025	-0.09992662585050009	-0.16984806497055024	1.7993390581579536	0.9780532461937297	1.7201205891033664	1.8663200372026731	3.19645219754526	3.9125640379380955	1.8271451049144973	3.3694538153373244	0.04596835499619186	0.09062239040884587
G000741165	-10.457059774999982	-0.06888956753655008	0.2432199876045001	0.5238414534529995	-0.11246719711950004	0.23088676849350004	0.202447940599	0.18808572149599972	-0.0011077618505849983	-0.0034821837498091534	0.5146071790786633	0.04387094585601359	0.4686306007396928	0.5002366796099039	0.5745270621400099	0.9625843529850279	0.484859551337625	0.6896172639494847	0.004894679257596227	0.006476878333823438
G000409565	-8.397579679999986	0.9972578693305005	0.18605345454499989	-2.9092763594900033	-2.7294590708039976	-1.076021327965	2.029778302194999	4.283610237615006	-0.18852424123349976	-0.4301053251599997	1.961608096108063	1.9470886599667312	2.622892406163483	3.659915599743397	3.6716272507162726	4.371380531509977	2.747017744930324	2.9423036888312852	0.1084785124525827	0.2032139386157254
G000233915	-11.813249650000019	2.221018270610002	-3.6219835836450014	-5.978721189055001	1.097274551224998	2.4437158859400023	-0.4385632513140011	-4.274822816050007	-0.08964083095639991	-0.22445827576549993	1.8107677030754052	1.420249206214478	2.118058148305271	3.1910461375899923	1.9462966346295887	2.558194645686636	2.0864395680326537	3.3974804954639892	0.04868348724630445	0.09099490322608234
G001481715	-10.319327480000014	-0.9835052617069999	-0.2500960258359999	0.45427669432350004	-5.275218866614999	-2.9884651485069997	-0.8797811691950008	-4.3450361584949935	-0.06953199859549998	-0.26103381733500025	1.819105819830158	0.8847252219061984	1.6102407493004913	1.660716131546687	3.178058086326473	3.9321662280162206	1.6867848025464878	3.5051275820938725	0.04054345935104956	0.08754981882309393
G001649715	-12.263296674999976	2.282003918005	-5.453454395499992	-0.7689216062684996	-7.575986274650012	-0.15053738525999993	-0.9929175040580479	-0.5121106428250016	-0.06334611576494999	-0.07819582159300008	1.881149354838366	0.9809047806828131	1.6316064318748604	1.5320809123000139	2.8481483079012992	2.684555658293086	1.5690730436106821	1.8784367451232422	0.041009814649398235	0.07025802665312968
G000531125	-9.329093149999984	-0.28770782145500023	-0.7384015148999993	-3.4597153817150015	5.971474793249993	-1.2739113634595003	-3.261673086789993	-2.078018537319999	-0.13434166622650015	-0.4013983865150002	1.921583157174932	1.5047848775439385	2.569329788047353	3.72376060761157	2.567446675721705	4.307803559642724	3.6437308449914765	3.9429544892553614	0.06855913671962278	0.1502609337341828
G000259155	-10.48105110500001	-0.5202856320155002	0.7535499718727002	2.1777958420919985	-4.630653507200002	-2.352316011255001	-0.25416513784850014	-3.404443172460995	-0.10414361608880002	-0.25371885006049993	1.908596548240416	0.914103518119674	1.7878758345735786	1.8458827497727595	3.407870947330809	4.005302960547299	1.9540581675288033	3.499453265097072	0.04745977700654829	0.0953871303377824
G001865765	-10.05045889	0.1507909391865	-0.5096325918190009	0.958798144825	-5.179034927450002	-2.7726044895299977	-1.4351589537249987	-3.9451865517299995	-0.08781331281610007	-0.27820468160000056	1.7652070785899514	0.962590669148925	1.672594963021283	1.7563961404779442	3.0736033915583008	3.6919952200198987	1.873026471309302	3.3521957082968266	0.045946137875319946	0.09772902353024442
G000422285	-10.163425395000015	-0.09851781103055014	0.23707298766450016	-1.4674642927099983	0.03665705611399998	2.256690823505002	-0.4915639004834994	-0.3425665223349995	0.019688219272399988	-0.34702733239999967	1.749400262029775	0.7521515502390147	1.4008017318162609	1.5356972044700745	1.6812199809526345	2.625259916674329	1.488612512368803	1.9469423557279544	0.03403045047859785	0.08227905263046624
G000427865	-10.85230141	0.29825262718649936	1.2669077517299998	0.8764740726284996	-1.6159143628550021	-4.638104076950005	-1.0077751771799994	-1.1153471845979988	-0.05959898443999997	-0.1685077190000004	1.4086806694518141	0.44229088159490876	0.9829802271503962	0.9922669810725	1.2652422355469033	3.2027035768107965	1.0433946779433678	1.453934043513531	0.021347359989724746	0.04953158450533483
G001602695	-10.23726032999996	-2.2733330931699984	0.6801949118835001	-1.445945211429001	2.5879076050895007	-2.855866342155004	-0.6921455123150019	-0.3512187567010009	0.025259361956349976	-0.4345676680000007	1.7764444373490524	0.897669701556303	1.626022680390698	1.8648564204139917	1.7734944367776604	3.901792853571765	1.7759264614745267	2.3351956927881137	0.0397973908285414	0.09485216748194933
G000286335	-11.53022793000002	0.2623322272049998	0.7439513842610004	0.3044136605410005	-1.5743581220129992	1.1186016996319974	-0.04817464806	-0.41677577021300033	-0.03951859316010004	-0.22010340733499992	1.8303032769138876	0.6926706360235223	1.3835482843272084	1.4689539552671929	1.7395227181364603	2.518543533211491	1.4106627569686006	1.8020777367207648	0.029861075377705354	0.07161048077383016
G000619845	-9.858558034999998	-1.076611812001001	-5.585260444784995	0.2935335009649995	2.8060074115250075	-1.9979328691600031	-1.0307674955439998	1.331022715340002	-0.06520454911604995	-0.35719272055000023	1.9382428171873856	1.193115301950019	3.112726394846098	2.0688880330068007	2.1106464945125434	3.9453796308540854	2.2375187381756443	2.496089099754264	0.05140612661770491	0.12102575090309793
G000176855	-11.106585579999978	-1.2455289728604984	0.5544580019569493	-1.4288379245825025	0.8531026291399992	-2.593349611930002	-5.833570066650013	0.7037460155250004	-0.025070469599899937	-0.2980346219500005	1.8734875949805387	1.1771610240042254	1.808087881903694	2.2202888478439684	2.12043748088931	3.9251622466574863	3.006798748814118	2.3542965494150647	0.054783068531711776	0.11150987577219414
G000161895	-7.84543037499999	1.576038074250003	-1.106795962116	0.3167709188525001	-4.060316533799993	1.9599798981100034	0.6774112434930007	1.1782772877039995	-0.12065245389999998	-0.1511639885150002	1.4869340715132293	0.4992937214065436	0.9830859864578188	1.0407445722448292	1.4675492264535246	1.766712882742318	0.9968112383075114	1.2587448634804053	0.02328498681422035	0.04937174480938816
G000368925	-13.646481235000005	0.4300343047465007	-0.6735910518420011	-0.15660395188900014	1.1912693442074993	0.7422287940560001	-0.2670309509085503	-1.0113623885850003	-0.010386969109000038	-0.057052593570000025	1.2359630431662303	0.29813009136333646	0.8308466844505502	0.8156412661945703	0.908955784789708	1.4206352915824496	0.8161422557260911	1.1168478731001015	0.0156634988658484	0.034312250711631374
G000324685	-11.674734404999999	-1.189933867829998	-1.3481697650880005	-1.6739918165349963	2.050771328974999	-3.650899503544997	-2.0221910624970016	-1.659741293459997	-0.0455482645165	-0.19435120183000001	1.7203937075859532	0.642480066401273	1.2692509858505285	1.373850527752517	1.3018419515494453	3.4237264501424685	1.392649372485143	1.9488258051704668	0.030952544455117872	0.07094276691573366
G000711975	-9.124000845	-2.7582626454324988	0.9866079380620999	0.23557485862549984	0.29859427338299965	-1.8125780190399947	0.33457571973550043	-2.8418469473359984	0.035624332178500036	-0.6285622320000014	1.9005559801644176	1.4329507196020723	2.204656386473329	2.4166158118456744	2.5855009150522763	4.066220432173457	2.3565519958271954	3.7685097843520743	0.05847912130686424	0.154597837321297
G000214035	-10.342619185	2.6920221948499985	-4.789798977000008	0.9215503517664994	-1.4654595106110002	-2.9943489101374996	-2.7175080168749988	-1.3635408564605018	-0.12129619413549976	-0.21051002661999976	1.8343298240029204	1.253531191796549	2.0281073255174356	1.7199177769982694	2.0188946129900436	3.7838109230651087	1.8821910614014903	2.311396374714606	0.04749449136513692	0.0951423180021358
G001552855	-10.437852774999993	-0.5166847392985005	0.5226837269549992	1.717954212615	-5.287716519809991	-2.9828791593329966	-2.693091676319995	-4.166334008185505	-0.09008820870600012	-0.23652400223500053	1.7497179435344288	0.7519818129293341	1.5393942309021849	1.5846063601474534	3.1066276250557308	3.721295797028155	2.020724546103729	3.401926254387093	0.03935138690662949	0.08273726154625677
