Feature	Intercept_mean	C(disease, Treatment('Control'))[T.MS]_mean	age_mean	bmi_mean	Intercept_std	C(disease, Treatment('Control'))[T.MS]_std	age_std	bmi_std
G001769295	-11.905046375000001	-0.5913801991550004	-0.03739315612594997	-0.3154280152499997	1.8311806956129981	1.214124542892283	0.047000478222512826	0.09894902929599914
G000775595	-11.04667695499999	-1.6961984750849985	-0.11612597519099987	-0.25095311440500007	1.846924463672562	1.6354551946394151	0.07020924414503286	0.12805734632570848
G000241465	-11.262335750000029	-0.05041067510000002	-0.11117398874700017	-0.17303787747090038	1.7799740163032252	1.1282485547327852	0.05242701130829335	0.10228988949143965
G000471625	-11.814460984999965	0.9987092673415002	-0.15985161803680012	-0.11993603323599991	1.7070006846931212	1.3399209744820981	0.06317750855998595	0.10838857552283601
G000012905	-14.458327984999997	-0.3328202502850007	-0.06996204338249988	-0.10202923107499984	1.667323191301071	0.7893226061981713	0.03067017610770721	0.05629250245175573
G900105875	-10.691961249999995	-2.312334158140002	-0.04351323051100502	-0.3227564527999999	1.811505585562029	1.0589344470266011	0.0444372214147187	0.09636364178757773
G001586195	-15.329363379999998	-1.0541975329349988	-0.07585056186999993	0.016068272501749956	1.41509674731722	0.5550147482703911	0.0225216967642938	0.04392754555456085
G001434915	-13.397314259999975	-1.4516228929350021	-0.0674937407650001	-0.056307103912000014	1.4404791530827001	0.5471373911303163	0.023462377090495454	0.048841983023769624
G001618265	-10.638322354999966	0.3920486144411493	-0.04456222215499998	-0.29131430259999924	1.581286642820745	0.5752166082979635	0.026026048360603748	0.06037870996969869
G900002265	-16.596671650000015	0.17245890434199984	0.007630264317299994	-0.027312876932415034	1.0811185367115284	0.30423259428990795	0.016156732765534133	0.03338284083205723
G001869735	-11.772467555000027	-1.3128515902689992	-0.11187005910000007	-0.12105068327809984	1.6417156213321102	0.7503303172589103	0.03518123893815251	0.07205597024739233
G900113085	-15.158981799999994	1.152536055944998	-0.0820503120199999	-0.03662335113267496	1.348649553912638	0.47348658580425057	0.022978870883346308	0.04167434413676612
G001422605	-16.818208399999996	0.0625782842455	0.005803128051700001	0.006040627846359493	1.1230144448801362	0.2967913563380711	0.01613825670514109	0.033259944517769625
G001311645	-13.263207774999973	-0.4997787301400002	-0.042106470665499995	-0.03419955196291004	1.1135343281060086	0.3132334886949786	0.016548057602178378	0.03693605825548539
G001513425	-14.955900905000002	0.32600906418799985	0.006718652153774998	-0.13734616886650003	1.2579341431828737	0.34871715335171916	0.018057935950584456	0.04401332000719321
G001457475	-14.238129250000032	0.288602276676	-0.01589840615689501	-0.03771490443449999	0.9996619515063268	0.29068404893247385	0.014945788877016693	0.030510965823954777
G000828575	-11.575250504999987	-2.0379579853100003	0.005586258713099997	-0.41636902855000035	1.8565744211815198	1.3864275427889523	0.05610452841313716	0.12745486610862813
G000964095	-14.84495832999997	-0.1518395658389998	-0.0810918395009999	-0.041755351965399985	1.7554311171210932	0.763842722329092	0.03260222948037183	0.0491970392406869
G001050475	-13.60231554000002	-1.6596983068999995	-0.08800765664000006	-0.08802025787070004	1.626252326253524	0.7126836178751934	0.03195147042683425	0.06282432632556832
G000617925	-10.442212980000003	-1.0307896670459995	-0.1311209555725	-0.18864767105949998	1.892529751509238	1.2546052578966949	0.05652002746653299	0.09966875195303061
G000714765	-10.424080660000003	-1.861015983699998	-0.007982426831900005	-0.39716730750000023	1.8252219261507254	0.9598296120256695	0.0394568548043077	0.09592823855776222
G000526915	-11.808456574999985	1.5122922060130024	-0.0973983376745	-0.23424535477500016	1.8795882733600227	1.1425318667244848	0.045574823803939506	0.09613930835816527
G001275345	-12.86382473500001	-0.3007749512049995	-0.024869302049959994	-0.09567455574299998	1.2635274294986742	0.4054706555276496	0.01932489569945368	0.04225490801125856
G000756355	-14.289914500000014	-0.5796011529399994	-0.04616090471999999	0.002951384396945004	1.0420049444603179	0.28051556917263365	0.015742689918159	0.03324572596416722
G000739615	-14.635740700000015	0.6451893399109508	0.030332215788449985	-0.09835310755000026	0.9729863435236434	0.23884202899238907	0.014414977549888098	0.027956709780423205
G900130115	-14.354943900000007	0.27998326778200006	-0.004320838548600009	0.004902984717499997	0.9969294791873651	0.248419295258988	0.014026447483931096	0.029288039156473895
